iter	Passed	Remaining
0	178	178046
1	180	89998
2	182	60539
3	183	45757
4	186	37131
5	188	31255
6	190	27013
7	195	24197
8	196	21651
9	198	19607
10	199	17935
11	200	16540
12	204	15500
13	206	14515
14	207	13636
15	211	12984
16	212	12314
17	217	11853
18	219	11310
19	220	10824
20	222	10386
21	229	10198
22	231	9835
23	233	9488
24	237	9281
25	240	8993
26	241	8714
27	243	8456
28	245	8208
29	248	8043
30	250	7844
31	252	7641
32	254	7459
33	260	7387
34	261	7214
35	263	7058
36	265	6909
37	268	6791
38	270	6658
39	272	6533
40	274	6412
41	276	6301
42	279	6216
43	281	6109
44	282	6003
45	284	5905
46	286	5807
47	290	5767
48	292	5682
49	294	5594
50	296	5513
51	297	5431
52	302	5405
53	305	5346
54	307	5288
55	311	5244
56	319	5284
57	321	5221
58	324	5171
59	327	5126
60	329	5069
61	331	5016
62	333	4960
63	335	4909
64	340	4891
65	346	4896
66	349	4870
67	350	4805
68	352	4752
69	357	4755
70	362	4741
71	364	4693
72	365	4645
73	371	4652
74	375	4634
75	377	4590
76	379	4548
77	385	4557
78	389	4546
79	391	4507
80	395	4489
81	397	4448
82	400	4430
83	402	4391
84	405	4363
85	407	4326
86	408	4285
87	412	4276
88	418	4287
89	420	4256
90	422	4221
91	425	4195
92	434	4234
93	436	4205
94	438	4174
95	439	4141
96	449	4183
97	452	4161
98	453	4129
99	460	4145
100	462	4118
101	463	4080
102	465	4051
103	467	4026
104	471	4019
105	473	3990
106	474	3963
107	476	3936
108	479	3916
109	481	3892
110	482	3866
111	484	3841
112	486	3818
113	488	3796
114	492	3787
115	493	3761
116	495	3739
117	497	3716
118	499	3694
119	504	3701
120	506	3679
121	508	3659
122	509	3636
123	514	3637
124	516	3618
125	518	3597
126	520	3579
127	522	3557
128	525	3545
129	526	3526
130	528	3508
131	537	3532
132	539	3516
133	541	3498
134	548	3517
135	550	3499
136	552	3482
137	554	3464
138	558	3458
139	560	3442
140	562	3426
141	564	3411
142	567	3402
143	570	3388
144	572	3374
145	575	3364
146	577	3349
147	579	3333
148	581	3319
149	584	3309
150	586	3295
151	588	3281
152	592	3281
153	594	3268
154	600	3276
155	604	3268
156	606	3255
157	608	3245
158	615	3254
159	617	3242
160	619	3228
161	625	3233
162	627	3220
163	629	3207
164	634	3209
165	638	3206
166	640	3194
167	647	3206
168	657	3234
169	664	3246
170	667	3236
171	678	3267
172	681	3255
173	683	3244
174	686	3235
175	698	3267
176	700	3258
177	709	3275
178	711	3263
179	713	3251
180	716	3241
181	718	3229
182	727	3249
183	730	3240
184	733	3230
185	742	3248
186	744	3238
187	753	3253
188	755	3242
189	759	3239
190	762	3230
191	779	3280
192	781	3269
193	796	3307
194	804	3321
195	807	3312
196	810	3302
197	812	3289
198	815	3280
199	818	3272
200	820	3261
201	829	3275
202	832	3267
203	841	3281
204	843	3270
205	845	3258
206	853	3269
207	855	3258
208	858	3247
209	866	3258
210	868	3246
211	870	3236
212	897	3314
213	899	3304
214	902	3294
215	906	3291
216	909	3280
217	911	3268
218	917	3270
219	919	3258
220	921	3248
221	932	3268
222	937	3267
223	939	3255
224	945	3256
225	948	3247
226	950	3235
227	955	3235
228	957	3225
229	960	3214
230	962	3203
231	964	3192
232	973	3205
233	976	3195
234	978	3185
235	983	3183
236	984	3171
237	987	3160
238	993	3162
239	995	3151
240	999	3148
241	1001	3138
242	1004	3128
243	1010	3130
244	1015	3130
245	1020	3128
246	1022	3117
247	1025	3108
248	1031	3112
249	1035	3107
250	1040	3104
251	1046	3105
252	1048	3095
253	1053	3093
254	1059	3094
255	1061	3084
256	1068	3090
257	1071	3081
258	1073	3071
259	1081	3078
260	1083	3069
261	1085	3058
262	1093	3065
263	1096	3055
264	1097	3045
265	1104	3049
266	1107	3039
267	1109	3029
268	1116	3034
269	1118	3024
270	1120	3014
271	1123	3005
272	1127	3003
273	1130	2995
274	1132	2986
275	1134	2976
276	1138	2972
277	1140	2962
278	1145	2961
279	1153	2965
280	1158	2963
281	1164	2965
282	1169	2962
283	1177	2968
284	1179	2958
285	1180	2948
286	1182	2938
287	1184	2927
288	1188	2923
289	1190	2913
290	1191	2903
291	1194	2895
292	1195	2885
293	1198	2878
294	1200	2869
295	1202	2859
296	1204	2850
297	1206	2841
298	1210	2839
299	1212	2829
300	1214	2820
301	1216	2811
302	1218	2803
303	1223	2801
304	1225	2792
305	1227	2783
306	1229	2775
307	1231	2766
308	1234	2761
309	1236	2752
310	1238	2743
311	1240	2736
312	1247	2737
313	1249	2729
314	1251	2721
315	1253	2714
316	1256	2706
317	1258	2698
318	1261	2692
319	1263	2684
320	1264	2675
321	1266	2666
322	1268	2659
323	1270	2651
324	1273	2644
325	1275	2636
326	1277	2628
327	1279	2621
328	1282	2615
329	1284	2608
330	1286	2599
331	1288	2592
332	1290	2584
333	1293	2578
334	1295	2570
335	1296	2562
336	1299	2555
337	1300	2548
338	1304	2542
339	1305	2534
340	1307	2527
341	1309	2520
342	1311	2512
343	1314	2506
344	1316	2499
345	1318	2491
346	1320	2485
347	1322	2477
348	1324	2471
349	1326	2463
350	1328	2456
351	1330	2449
352	1332	2441
353	1337	2441
354	1339	2433
355	1341	2426
356	1343	2418
357	1345	2412
358	1350	2410
359	1352	2403
360	1353	2396
361	1355	2389
362	1360	2387
363	1363	2381
364	1364	2374
365	1366	2367
366	1368	2361
367	1371	2354
368	1373	2349
369	1375	2342
370	1377	2334
371	1379	2328
372	1381	2322
373	1384	2317
374	1386	2310
375	1388	2303
376	1390	2297
377	1391	2289
378	1396	2288
379	1398	2282
380	1400	2275
381	1402	2269
382	1410	2271
383	1412	2265
384	1414	2260
385	1417	2254
386	1420	2249
387	1422	2243
388	1428	2244
389	1430	2237
390	1432	2231
391	1434	2225
392	1437	2220
393	1439	2214
394	1441	2208
395	1443	2202
396	1445	2195
397	1448	2190
398	1450	2184
399	1456	2185
400	1459	2179
401	1461	2173
402	1467	2173
403	1468	2166
404	1470	2161
405	1473	2156
406	1477	2153
407	1480	2147
408	1482	2141
409	1486	2138
410	1490	2135
411	1492	2129
412	1494	2123
413	1500	2124
414	1503	2119
415	1505	2113
416	1508	2109
417	1511	2104
418	1513	2098
419	1515	2093
420	1519	2090
421	1523	2086
422	1531	2089
423	1533	2083
424	1538	2081
425	1540	2075
426	1542	2069
427	1545	2064
428	1549	2062
429	1551	2056
430	1554	2051
431	1560	2052
432	1562	2046
433	1564	2040
434	1574	2044
435	1576	2039
436	1578	2033
437	1582	2030
438	1584	2024
439	1585	2018
440	1589	2014
441	1591	2009
442	1593	2003
443	1595	1998
444	1598	1993
445	1600	1987
446	1602	1982
447	1605	1978
448	1608	1973
449	1616	1975
450	1618	1970
451	1620	1964
452	1624	1961
453	1628	1958
454	1630	1952
455	1632	1947
456	1638	1947
457	1641	1942
458	1643	1936
459	1646	1933
460	1650	1930
461	1652	1924
462	1654	1919
463	1657	1914
464	1659	1909
465	1661	1903
466	1663	1899
467	1667	1895
468	1668	1889
469	1670	1883
470	1673	1879
471	1675	1874
472	1677	1869
473	1679	1864
474	1681	1859
475	1684	1854
476	1686	1848
477	1693	1849
478	1696	1845
479	1698	1839
480	1700	1834
481	1704	1831
482	1706	1826
483	1708	1821
484	1711	1817
485	1715	1814
486	1718	1809
487	1720	1804
488	1726	1804
489	1729	1800
490	1731	1795
491	1733	1790
492	1740	1789
493	1742	1784
494	1743	1779
495	1749	1777
496	1751	1772
497	1753	1767
498	1755	1762
499	1762	1762
500	1764	1757
501	1766	1752
502	1774	1753
503	1777	1748
504	1778	1743
505	1790	1747
506	1792	1742
507	1794	1738
508	1798	1735
509	1801	1730
510	1805	1727
511	1807	1722
512	1810	1718
513	1814	1715
514	1816	1710
515	1818	1706
516	1821	1701
517	1826	1699
518	1828	1695
519	1830	1690
520	1833	1685
521	1839	1684
522	1841	1679
523	1843	1674
524	1846	1670
525	1850	1667
526	1852	1663
527	1855	1658
528	1858	1654
529	1863	1652
530	1864	1647
531	1866	1642
532	1870	1638
533	1872	1633
534	1874	1629
535	1879	1627
536	1881	1622
537	1883	1617
538	1886	1613
539	1893	1613
540	1895	1608
541	1897	1603
542	1906	1604
543	1908	1599
544	1910	1595
545	1912	1590
546	1919	1589
547	1920	1584
548	1922	1579
549	1926	1575
550	1929	1571
551	1931	1567
552	1932	1562
553	1938	1560
554	1940	1556
555	1942	1551
556	1947	1548
557	1949	1544
558	1952	1540
559	1955	1536
560	1959	1533
561	1961	1528
562	1963	1524
563	1970	1523
564	1973	1519
565	1974	1514
566	1982	1513
567	1984	1509
568	1986	1504
569	1995	1505
570	1997	1500
571	1999	1496
572	2002	1492
573	2006	1489
574	2008	1484
575	2010	1480
576	2018	1479
577	2021	1475
578	2023	1471
579	2029	1469
580	2031	1465
581	2033	1460
582	2039	1459
583	2041	1454
584	2043	1449
585	2044	1444
586	2046	1439
587	2047	1434
588	2050	1431
589	2052	1426
590	2054	1421
591	2055	1416
592	2057	1411
593	2058	1407
594	2061	1403
595	2063	1398
596	2065	1394
597	2066	1389
598	2068	1384
599	2073	1382
600	2074	1377
601	2077	1373
602	2079	1368
603	2087	1368
604	2089	1363
605	2090	1359
606	2092	1354
607	2094	1350
608	2096	1346
609	2098	1341
610	2100	1336
611	2101	1332
612	2107	1330
613	2108	1325
614	2110	1321
615	2112	1316
616	2114	1312
617	2117	1309
618	2120	1304
619	2121	1300
620	2123	1295
621	2125	1291
622	2127	1287
623	2128	1282
624	2130	1278
625	2131	1273
626	2133	1268
627	2139	1267
628	2141	1262
629	2142	1258
630	2144	1254
631	2146	1249
632	2148	1245
633	2151	1242
634	2153	1237
635	2155	1233
636	2156	1228
637	2158	1224
638	2161	1221
639	2163	1217
640	2165	1212
641	2167	1208
642	2168	1204
643	2175	1202
644	2176	1198
645	2178	1193
646	2180	1189
647	2181	1185
648	2187	1182
649	2188	1178
650	2190	1174
651	2191	1169
652	2193	1165
653	2195	1161
654	2198	1157
655	2200	1153
656	2201	1149
657	2203	1145
658	2205	1140
659	2206	1136
660	2210	1133
661	2212	1129
662	2214	1125
663	2215	1121
664	2223	1120
665	2225	1116
666	2227	1111
667	2229	1107
668	2238	1107
669	2240	1103
670	2243	1099
671	2245	1095
672	2246	1091
673	2248	1087
674	2250	1083
675	2252	1079
676	2258	1077
677	2259	1073
678	2261	1069
679	2263	1065
680	2264	1060
681	2266	1056
682	2269	1053
683	2271	1049
684	2272	1045
685	2274	1041
686	2276	1037
687	2277	1032
688	2281	1029
689	2283	1025
690	2285	1021
691	2287	1018
692	2291	1015
693	2293	1011
694	2294	1007
695	2296	1003
696	2298	999
697	2299	995
698	2305	992
699	2307	988
700	2308	984
701	2310	980
702	2312	976
703	2313	972
704	2317	969
705	2318	965
706	2319	961
707	2321	957
708	2322	953
709	2324	949
710	2328	946
711	2330	942
712	2331	938
713	2332	934
714	2334	930
715	2336	926
716	2339	923
717	2340	919
718	2342	915
719	2344	911
720	2345	907
721	2350	905
722	2352	901
723	2353	897
724	2355	893
725	2357	889
726	2358	885
727	2364	883
728	2366	879
729	2367	875
730	2369	872
731	2371	868
732	2373	864
733	2376	861
734	2378	857
735	2379	853
736	2381	849
737	2383	846
738	2386	842
739	2389	839
740	2390	835
741	2392	831
742	2394	828
743	2395	824
744	2399	821
745	2401	817
746	2404	814
747	2405	810
748	2408	807
749	2410	803
750	2412	799
751	2415	796
752	2424	795
753	2426	791
754	2428	787
755	2430	784
756	2433	781
757	2435	777
758	2437	773
759	2439	770
760	2444	767
761	2447	764
762	2449	760
763	2451	757
764	2454	754
765	2457	750
766	2458	746
767	2460	743
768	2468	741
769	2470	737
770	2472	734
771	2474	730
772	2480	728
773	2483	725
774	2484	721
775	2486	717
776	2488	714
777	2492	711
778	2494	707
779	2496	704
780	2498	700
781	2506	698
782	2508	695
783	2510	691
784	2512	688
785	2518	685
786	2520	682
787	2522	678
788	2524	675
789	2530	672
790	2532	669
791	2534	665
792	2535	661
793	2537	658
794	2541	655
795	2543	651
796	2545	648
797	2547	644
798	2548	641
799	2552	638
800	2554	634
801	2556	631
802	2558	627
803	2565	625
804	2567	622
805	2569	618
806	2571	615
807	2577	612
808	2579	609
809	2581	605
810	2583	602
811	2585	598
812	2587	595
813	2589	591
814	2591	588
815	2593	584
816	2597	581
817	2599	578
818	2602	575
819	2607	572
820	2609	568
821	2611	565
822	2613	562
823	2615	558
824	2619	555
825	2621	552
826	2623	548
827	2625	545
828	2629	542
829	2631	539
830	2633	535
831	2635	532
832	2637	528
833	2641	525
834	2644	522
835	2651	520
836	2654	517
837	2663	514
838	2665	511
839	2669	508
840	2671	505
841	2674	501
842	2676	498
843	2684	496
844	2686	492
845	2691	490
846	2694	486
847	2696	483
848	2701	480
849	2704	477
850	2707	474
851	2712	471
852	2714	467
853	2754	470
854	2757	467
855	2796	470
856	2798	466
857	2811	465
858	2825	463
859	2827	460
860	2829	456
861	2832	453
862	2834	450
863	2840	447
864	2842	443
865	2845	440
866	2847	436
867	2852	433
868	2854	430
869	2856	426
870	2859	423
871	2864	420
872	2870	417
873	2872	414
874	2876	410
875	2879	407
876	2881	404
877	2884	400
878	2891	398
879	2893	394
880	2896	391
881	2898	387
882	2900	384
883	2903	380
884	2906	377
885	2916	375
886	2925	372
887	2927	369
888	2930	365
889	2937	363
890	2938	359
891	2941	356
892	2943	352
893	2945	349
894	2947	345
895	2949	342
896	2958	339
897	2961	336
898	2963	332
899	2970	330
900	2972	326
901	2974	323
902	2976	319
903	2979	316
904	2981	312
905	2983	309
906	2985	306
907	2992	303
908	2994	299
909	2996	296
910	3004	293
911	3005	290
912	3007	286
913	3009	283
914	3011	279
915	3013	276
916	3015	272
917	3017	269
918	3019	266
919	3025	263
920	3028	259
921	3029	256
922	3031	252
923	3037	249
924	3039	246
925	3041	243
926	3043	239
927	3045	236
928	3050	233
929	3053	229
930	3054	226
931	3057	223
932	3063	220
933	3065	216
934	3067	213
935	3068	209
936	3073	206
937	3075	203
938	3077	199
939	3079	196
940	3081	193
941	3084	189
942	3086	186
943	3088	183
944	3090	179
945	3098	176
946	3100	173
947	3102	170
948	3104	166
949	3107	163
950	3110	160
951	3112	156
952	3117	153
953	3120	150
954	3123	147
955	3126	143
956	3130	140
957	3132	137
958	3133	133
959	3135	130
960	3138	127
961	3140	124
962	3142	120
963	3143	117
964	3145	114
965	3150	110
966	3152	107
967	3155	104
968	3157	101
969	3163	97
970	3165	94
971	3167	91
972	3169	87
973	3174	84
974	3176	81
975	3177	78
976	3180	74
977	3181	71
978	3187	68
979	3189	65
980	3193	61
981	3195	58
982	3201	55
983	3203	52
984	3205	48
985	3207	45
986	3209	42
987	3213	39
988	3215	35
989	3217	32
990	3218	29
991	3221	25
992	3223	22
993	3224	19
994	3227	16
995	3229	12
996	3234	9
997	3237	6
998	3239	3
999	3240	0
